,Geol,Dol_den,Lin_order1,Lin_order2,RTP,BGA,eK,eU,eTh,ZR,BA,RB,NB,CE,TH,U,TREE,MGO,CAO,K2O,SIO2,Label
317,1.0,30.956981658935547,2000.0,0.0,111.0,191.0,5.0352373123168945,5.356372356414795,32.817142486572266,1082.6580810546875,841.553955078125,156.6986083984375,20.572391510009766,112.08802032470703,35.69398880004883,5.456443786621094,312.3995056152344,2.0276801586151123,1.063790202140808,0.6559104919433594,63.07087326049805,0
318,2.0,2.27780818939209,15620.5,8000.0,219.0,211.0,0.30843859910964966,1.5015056133270264,9.516228675842285,403.2173767089844,454.6907653808594,67.29861450195312,12.80793571472168,47.96320343017578,8.460314750671387,2.5483579635620117,135.0362548828125,1.6951290369033813,4.769114971160889,1.9769879579544067,62.81114196777344,0
319,2.0,52.89487838745117,5656.85400390625,0.0,143.0,151.0,2.6727330684661865,1.6043692827224731,2.8163750171661377,417.0824279785156,688.4046630859375,85.63944244384766,17.194053649902344,51.979793548583984,9.937235832214355,2.387295722961426,150.73300170898438,1.3143166303634644,2.691760301589966,2.557650327682495,61.04855728149414,0
320,2.0,0.0,14422.205078125,6324.55517578125,159.0,63.0,0.9487761855125427,0.6924790143966675,6.598176002502441,494.8245544433594,304.30718994140625,63.523590087890625,12.398941040039062,57.99668884277344,8.306106567382812,2.4075536727905273,161.22610473632812,1.4363346099853516,1.86834716796875,1.363484263420105,63.509033203125,0
321,2.0,0.0,2828.427001953125,4000.0,111.0,223.0,0.26025494933128357,1.4391472339630127,8.821993827819824,353.4852294921875,389.0518798828125,33.12685775756836,13.595184326171875,57.253692626953125,9.129070281982422,2.270246982574463,157.50616455078125,2.142180919647217,6.029906749725342,1.0697168111801147,57.31259536743164,0
322,5.0,0.0,12806.2490234375,0.0,135.0,203.0,3.0330188274383545,1.6523528099060059,21.541210174560547,737.6100463867188,586.4031982421875,110.3214340209961,13.790133476257324,88.27352142333984,27.709423065185547,4.880167007446289,241.92819213867188,1.3549283742904663,2.7139291763305664,3.1687660217285156,62.54619598388672,0
323,2.0,3.955925226211548,10770.3291015625,2000.0,227.0,223.0,0.538666307926178,0.9003334641456604,3.9297454357147217,475.07904052734375,423.7121276855469,65.68096160888672,11.6290864944458,48.54685974121094,15.008965492248535,2.3640453815460205,135.25868225097656,1.6391313076019287,3.610241413116455,1.4610050916671753,63.95175552368164,0
324,2.0,0.0,0.0,2000.0,231.0,227.0,3.3415184020996094,2.5157361030578613,8.495243072509766,449.0263366699219,700.2402954101562,93.3830795288086,10.560419082641602,60.69963455200195,10.405522346496582,2.5432286262512207,168.63262939453125,1.080301284790039,2.244746446609497,2.9207818508148193,63.001407623291016,0
325,8.0,39.19099426269531,4472.13623046875,0.0,231.0,235.0,0.5094137787818909,0.8509109616279602,3.67160701751709,300.2335205078125,367.88543701171875,51.86945343017578,8.672575950622559,51.62635803222656,9.038909912109375,2.237135171890259,149.8179931640625,2.406338930130005,6.119469165802002,1.2614163160324097,57.79888916015625,0
326,5.0,0.0,2000.0,4000.0,207.0,235.0,0.5244678854942322,1.5727930068969727,10.815876007080078,387.7676696777344,435.3481140136719,67.61286163330078,15.041954040527344,65.41070556640625,13.117972373962402,2.3224830627441406,172.0355224609375,2.404839515686035,5.059206008911133,1.1419367790222168,57.478965759277344,0
327,2.0,0.0,5656.85400390625,5656.85400390625,239.0,223.0,0.7063177824020386,2.796680212020874,7.808081150054932,285.0592346191406,395.9043884277344,64.5285415649414,13.113835334777832,59.689640045166016,9.320627212524414,3.8564419746398926,166.6192626953125,2.307398557662964,5.816901683807373,1.7135263681411743,56.74082565307617,0
328,5.0,14.180685997009277,4472.13623046875,0.0,95.0,199.0,2.943495988845825,1.8213399648666382,15.01967716217041,804.6814575195312,615.8510131835938,98.00919342041016,7.444046497344971,93.117919921875,19.574016571044922,4.433710098266602,251.2261962890625,1.4620267152786255,1.747466802597046,2.0516741275787354,62.21574401855469,0
329,4.0,18.21443748474121,8246.2109375,4000.0,251.0,251.0,0.8512043356895447,0.9420422315597534,3.9939303398132324,258.9627990722656,309.7663879394531,64.725341796875,8.675785064697266,49.431884765625,8.247455596923828,1.7509475946426392,147.9596405029297,1.967707872390747,2.1504805088043213,1.3328325748443604,56.823997497558594,0
330,2.0,21.86570930480957,5656.85400390625,7211.1025390625,103.0,203.0,1.9147007465362549,1.8579336404800415,6.964959144592285,542.40771484375,304.3691711425781,98.38572692871094,12.516939163208008,49.7075309753418,18.27812385559082,2.9742321968078613,147.95989990234375,1.2794357538223267,2.2242743968963623,2.0918452739715576,60.46001052856445,0
331,2.0,83.65435791015625,0.0,6000.0,143.0,243.0,0.28894445300102234,1.8019382953643799,2.415818214416504,394.53253173828125,299.0499267578125,65.22940826416016,12.275728225708008,58.234493255615234,8.104230880737305,2.4460530281066895,169.1890411376953,1.6047675609588623,1.5478668212890625,1.5573995113372803,57.3507194519043,0
332,6.0,0.0,0.0,10198.0390625,79.0,159.0,3.450227737426758,2.7142221927642822,23.762847900390625,1249.346923828125,646.1072998046875,92.01258850097656,22.56431007385254,154.61349487304688,19.892541885375977,4.495118141174316,385.9227600097656,1.061740756034851,2.2148594856262207,3.329298734664917,59.472389221191406,0
333,2.0,0.0,14000.0,2000.0,175.0,127.0,1.2860009670257568,2.2492551803588867,8.75052261352539,386.7415466308594,483.5473327636719,80.28411102294922,12.530790328979492,69.10671997070312,14.24545955657959,3.3606507778167725,189.54550170898438,2.308215618133545,4.369420528411865,1.7364486455917358,61.06004333496094,0
334,2.0,0.0,2000.0,0.0,103.0,167.0,1.6588324308395386,1.5846333503723145,8.49097728729248,773.6661987304688,648.53125,71.03573608398438,14.662948608398438,69.53608703613281,12.47233772277832,2.473057508468628,199.68826293945312,4.132920742034912,1.9617571830749512,0.8938283920288086,60.76252365112305,0
335,2.0,0.0,4472.13623046875,0.0,79.0,235.0,0.49475494027137756,0.5702995657920837,5.108259677886963,371.74676513671875,415.0116882324219,34.97560501098633,14.13784408569336,74.67781066894531,7.977109909057617,2.6432454586029053,207.6359100341797,2.293735980987549,7.748510837554932,1.1488330364227295,54.7418327331543,0
336,2.0,0.0,13416.4072265625,8944.2724609375,239.0,47.0,0.9059004187583923,2.0223188400268555,7.450817584991455,301.9985656738281,385.2196960449219,48.200439453125,12.949179649353027,61.8392219543457,8.306516647338867,2.2335071563720703,172.32545471191406,2.411083221435547,6.022541046142578,1.5105434656143188,56.477996826171875,0
337,5.0,0.0,6000.0,0.0,251.0,203.0,2.612994909286499,2.6972672939300537,15.17894172668457,1139.3206787109375,595.4286499023438,105.50460815429688,4.248044490814209,258.4325256347656,37.45364761352539,12.920063018798828,736.4230346679688,2.0371155738830566,1.232824683189392,0.8726814985275269,62.105865478515625,0
338,5.0,0.0,6324.55517578125,4472.13623046875,167.0,143.0,2.740953207015991,2.8772997856140137,25.513320922851562,1235.3330078125,718.9968872070312,158.8881072998047,15.713793754577637,121.87224578857422,47.190921783447266,5.967646598815918,331.64447021484375,1.3889315128326416,1.0676369667053223,0.9902266263961792,62.12977600097656,0
339,6.0,0.0,5656.85400390625,0.0,103.0,135.0,3.471717119216919,2.3430941104888916,11.043885231018066,538.5184326171875,698.0588989257812,95.30742645263672,14.996499061584473,61.918704986572266,23.527999877929688,3.1792120933532715,171.47093200683594,1.4501148462295532,3.1883933544158936,2.5246636867523193,64.13599395751953,0
340,2.0,28.094099044799805,0.0,0.0,183.0,219.0,1.026694893836975,1.4511287212371826,8.745389938354492,732.2178344726562,513.9703979492188,90.53203582763672,5.783238887786865,80.64159393310547,16.58354949951172,3.8752100467681885,232.87295532226562,1.363286018371582,2.0521585941314697,2.300717830657959,64.55693054199219,0
341,5.0,26.72148895263672,2828.427001953125,2000.0,203.0,159.0,2.1939542293548584,3.3861608505249023,22.06476402282715,603.4762573242188,480.9664001464844,120.7741928100586,15.310245513916016,59.50414276123047,38.74443054199219,4.160818576812744,162.97715759277344,1.3260425329208374,2.7569286823272705,2.6773593425750732,66.90629577636719,0
342,5.0,35.6357536315918,0.0,0.0,255.0,47.0,3.6105566024780273,8.928696632385254,29.605287551879883,317.9768981933594,455.7816162109375,163.2965545654297,8.997275352478027,67.25733184814453,19.681119918823242,4.603323936462402,196.56410217285156,1.0754506587982178,2.1742024421691895,3.389199733734131,61.84980773925781,0
343,5.0,0.0,8000.0,0.0,219.0,247.0,0.5493292808532715,1.784664511680603,10.76118278503418,477.7962646484375,444.8010559082031,69.60938262939453,15.29873275756836,70.4404296875,17.000091552734375,2.9050850868225098,183.6092529296875,2.0270912647247314,4.808353424072266,1.2687727212905884,60.63600540161133,0
