,Geol,Dol_den,Lin_order1,Lin_order2,RTP,BGA,eK,eU,eTh,ZR,BA,RB,NB,CE,TH,U,TREE,MGO,CAO,K2O,SIO2,Label,CLUSTER_ID
63,3.0,0.0,2000.0,4000.0,143.0,231.0,3.324960231781006,3.1369354724884033,13.211113929748535,459.62713623046875,710.1703491210938,95.99547576904297,10.635679244995117,69.51081848144531,11.894020080566406,3.125955820083618,193.21946716308594,1.0235927104949951,2.3804423809051514,2.9247820377349854,62.38984298706055,1,5
64,5.0,0.0,15620.5,4472.13623046875,219.0,195.0,2.1238396167755127,2.9407410621643066,14.34243106842041,405.49432373046875,530.55126953125,122.95526123046875,14.187766075134277,69.64057922363281,20.691213607788086,4.428386211395264,197.05523681640625,1.6641908884048462,3.5501227378845215,2.7478930950164795,62.61453628540039,1,4
65,1.0,0.0,14422.205078125,2828.427001953125,235.0,203.0,3.0924415588378906,4.037024974822998,31.467182159423828,444.93878173828125,525.1419067382812,126.30745697021484,13.326045036315918,73.01420593261719,24.889448165893555,4.9166154861450195,207.79251098632812,1.523480772972107,3.302572727203369,2.903144598007202,62.87276840209961,1,4
66,2.0,0.0,11661.9033203125,16970.5625,211.0,151.0,0.7876442074775696,2.006136894226074,5.265365123748779,427.9853515625,536.4036865234375,76.01246643066406,9.888163566589355,57.32655715942383,8.752126693725586,2.187638282775879,164.19827270507812,1.7639964818954468,4.605685234069824,1.996383786201477,58.971099853515625,1,5
67,2.0,0.0,12806.2490234375,15620.5,207.0,151.0,3.2035133838653564,1.247016429901123,4.090192794799805,522.1582641601562,541.6825561523438,88.395751953125,9.390480995178223,57.19577407836914,8.043290138244629,2.519207000732422,164.24783325195312,1.339269995689392,3.061552047729492,2.323112964630127,59.20933532714844,1,5
68,6.0,13.870672225952148,2000.0,2828.427001953125,207.0,191.0,2.4593145847320557,3.064154624938965,14.790519714355469,600.0762329101562,625.776611328125,92.66698455810547,13.396669387817383,69.5557861328125,17.30145835876465,2.5744354724884033,193.9425048828125,3.1711652278900146,1.9637401103973389,1.1174405813217163,62.097843170166016,1,7
69,6.0,13.870672225952148,2000.0,2828.427001953125,207.0,191.0,2.4593145847320557,3.064154624938965,14.790519714355469,600.0762329101562,625.776611328125,92.66698455810547,13.396669387817383,69.5557861328125,17.30145835876465,2.5744354724884033,193.9425048828125,3.1711652278900146,1.9637401103973389,1.1174405813217163,62.097843170166016,1,7
70,2.0,4.094414234161377,8246.2109375,2000.0,95.0,243.0,1.3275270462036133,1.8748013973236084,9.518227577209473,597.4857788085938,592.1824951171875,81.63640594482422,12.614527702331543,56.03352355957031,17.314767837524414,2.756251096725464,152.13328552246094,1.952380895614624,2.956129312515259,1.6095250844955444,66.8319320678711,1,7
71,2.0,0.0,8944.2724609375,2000.0,47.0,247.0,0.6897387504577637,1.867980718612671,9.346707344055176,542.453857421875,564.7366333007812,90.5688705444336,13.725924491882324,57.142845153808594,19.991378784179688,3.190516233444214,154.59268188476562,2.102081537246704,2.917267084121704,1.6872080564498901,66.23096466064453,1,7
72,4.0,1.8961272239685059,15620.5,2828.427001953125,31.0,183.0,0.5119261145591736,0.5636587142944336,2.3854782581329346,262.078857421875,359.59820556640625,48.862937927246094,14.20988941192627,74.30140686035156,8.68359088897705,2.021963596343994,182.04806518554688,1.9946991205215454,4.307634353637695,1.4824421405792236,53.799076080322266,1,4
73,2.0,12.142227172851562,14142.1357421875,4472.13623046875,63.0,79.0,1.3441318273544312,0.9528114795684814,9.062423706054688,264.5360412597656,416.7956848144531,53.6506462097168,12.336336135864258,58.95568084716797,8.13383960723877,2.124368190765381,160.92730712890625,1.9284061193466187,4.541684627532959,1.6790120601654053,55.50450134277344,1,4
74,2.0,12.142227172851562,14142.1357421875,4472.13623046875,63.0,79.0,1.3441318273544312,0.9528114795684814,9.062423706054688,264.5360412597656,416.7956848144531,53.6506462097168,12.336336135864258,58.95568084716797,8.13383960723877,2.124368190765381,160.92730712890625,1.9284061193466187,4.541684627532959,1.6790120601654053,55.50450134277344,1,4
75,6.0,13.534026145935059,6324.55517578125,4472.13623046875,207.0,135.0,2.53397274017334,2.2272424697875977,15.150310516357422,524.307373046875,778.1719360351562,138.73155212402344,21.026594161987305,56.394569396972656,38.35634231567383,4.086277008056641,153.65797424316406,1.1822999715805054,2.0364742279052734,3.494866132736206,67.080078125,1,7
