,Geol,Dol_den,Lin_order1,Lin_order2,RTP,BGA,eK,eU,eTh,ZR,BA,RB,NB,CE,TH,U,TREE,MGO,CAO,K2O,SIO2
5994,2.0,20.778690338134766,5656.85400390625,2000.0,215.0,231.0,1.8479732275009155,0.9533069729804993,5.64327335357666,713.6651000976562,664.3030395507812,68.51251220703125,13.958168029785156,83.75728607177734,14.289814949035645,2.3498213291168213,242.53343200683594,3.741105318069458,2.0363636016845703,0.9079294204711914,59.27166748046875
5995,2.0,75.91239929199219,4472.13623046875,2000.0,239.0,223.0,1.1327757835388184,1.0851500034332275,5.369129180908203,846.6814575195312,636.4719848632812,70.82415008544922,17.21479606628418,96.27239227294922,13.968611717224121,2.671506643295288,280.87896728515625,4.559521675109863,2.0421557426452637,1.0440407991409302,58.127105712890625
5996,2.0,139.29090881347656,4000.0,2000.0,175.0,183.0,2.1483731269836426,1.5476491451263428,7.804984092712402,854.7581787109375,637.3633422851562,76.71800994873047,16.6435546875,86.8948974609375,13.33895206451416,2.6376430988311768,251.57318115234375,3.2203118801116943,1.7831103801727295,1.10948646068573,59.26457214355469
5997,5.0,77.60885620117188,2828.427001953125,0.0,143.0,151.0,2.4688024520874023,2.1713578701019287,16.549766540527344,838.2664794921875,628.0917358398438,86.1070327758789,16.298494338989258,78.55017852783203,17.150426864624023,3.140963077545166,230.2246856689453,3.0380747318267822,1.697106957435608,0.8790010809898376,60.54685974121094
5998,5.0,37.02926254272461,2000.0,0.0,195.0,203.0,2.5653700828552246,3.0815415382385254,11.585355758666992,639.5930786132812,578.2510986328125,87.1241683959961,14.497031211853027,66.6938247680664,13.670711517333984,2.9406721591949463,200.3758087158203,3.2719407081604004,1.997747540473938,0.8571861386299133,60.872657775878906
5999,4.0,27.75000762939453,0.0,0.0,235.0,159.0,1.4620896577835083,1.3937567472457886,6.151984214782715,655.194580078125,583.95751953125,73.29376983642578,13.59957504272461,62.71866226196289,13.116915702819824,2.5912818908691406,186.10806274414062,3.5876190662384033,2.0246472358703613,0.9056748747825623,60.41257095336914
6000,2.0,36.3635368347168,2000.0,0.0,219.0,159.0,1.4435570240020752,1.3962610960006714,5.926413536071777,703.8882446289062,606.3602905273438,72.94766235351562,13.712661743164062,63.793128967285156,12.170429229736328,2.7075932025909424,189.65496826171875,3.647770881652832,1.8849791288375854,0.8281576633453369,61.62105941772461
6001,2.0,14.609881401062012,2000.0,2000.0,235.0,151.0,1.297114610671997,1.4580206871032715,5.806460380554199,848.5382690429688,618.4330444335938,68.2214584350586,14.066909790039062,59.805076599121094,12.474390029907227,2.671208143234253,178.64224243164062,3.242811441421509,1.6547249555587769,0.834994375705719,63.00080490112305
6002,2.0,8.715147018432617,2828.427001953125,2000.0,175.0,143.0,1.2926329374313354,1.4498414993286133,6.52376127243042,720.7407836914062,604.909912109375,67.12596893310547,14.432632446289062,62.431636810302734,12.592828750610352,2.7010343074798584,185.84033203125,4.596865177154541,1.796815037727356,0.8671722412109375,59.59080123901367
6003,2.0,24.84056854248047,4472.13623046875,2000.0,167.0,135.0,1.167360544204712,1.3789527416229248,6.339866638183594,768.0945434570312,634.6580200195312,70.6858901977539,14.080062866210938,67.62259674072266,13.450617790222168,2.9497768878936768,198.9501190185547,3.97988224029541,1.807983160018921,0.9230831861495972,60.35643005371094
6004,2.0,11.607449531555176,5656.85400390625,2000.0,167.0,151.0,1.957858681678772,1.350994348526001,7.936672687530518,825.555419921875,679.2261352539062,70.10765075683594,14.109201431274414,68.13996124267578,13.08650016784668,2.9750304222106934,201.15066528320312,3.5739011764526367,1.8289650678634644,0.9301353096961975,61.68220138549805
6005,2.0,0.0,5656.85400390625,0.0,191.0,203.0,0.6357956528663635,1.5929677486419678,5.251214027404785,828.60498046875,608.8740844726562,66.9927749633789,14.364167213439941,70.11549377441406,13.038832664489746,3.1576335430145264,208.02932739257812,3.607649803161621,1.8135559558868408,0.9941933751106262,61.15205764770508
6006,2.0,6.912450313568115,4000.0,0.0,103.0,211.0,1.323117971420288,1.800806999206543,9.550600051879883,790.234619140625,640.2020874023438,72.80513763427734,14.910443305969238,68.19046020507812,14.28364372253418,3.007357597351074,202.73080444335938,3.731895685195923,1.9129409790039062,0.8621918559074402,62.17414093017578
6007,2.0,36.02509689331055,2000.0,0.0,143.0,215.0,1.7931305170059204,1.4864718914031982,8.375895500183105,892.0370483398438,678.6513671875,77.20073699951172,14.494718551635742,72.62995147705078,14.944785118103027,3.1630091667175293,212.6830596923828,3.5718228816986084,1.8057458400726318,0.9204155802726746,61.47758483886719
